,cum_return,Date
0,1.0555346184,2002-02-01
1,1.0672317564358813,2002-03-01
2,1.046303286281501,2002-04-01
3,1.0567384652952712,2002-05-01
4,0.8884145036112752,2002-06-01
5,0.985797656972855,2002-07-01
6,0.9605158147500287,2002-08-01
7,0.9986784589394893,2002-09-01
8,1.113307581785587,2002-10-01
9,1.020049864110867,2002-11-01
10,1.0517430322914925,2002-12-01
11,0.9600667616967202,2003-01-01
12,1.0620991920568912,2003-02-01
13,1.422442916683977,2003-03-01
14,1.831705540669717,2003-04-01
15,1.810170107557888,2003-05-01
16,1.8267322289081653,2003-06-01
17,1.879644748175619,2003-07-01
18,1.8866288840177832,2003-08-01
19,2.0308102545824593,2003-09-01
20,2.16411320653301,2003-10-01
21,2.2249028374691564,2003-11-01
22,2.3375639515614557,2003-12-01
23,2.3544722492456858,2004-01-01
24,2.41429322170023,2004-02-01
25,2.3450726247967744,2004-03-01
26,2.4292032238110006,2004-04-01
27,2.515103228729474,2004-05-01
28,2.4113748518305207,2004-06-01
29,2.5049393225254954,2004-07-01
30,2.424688373339387,2004-08-01
31,2.4060583432647316,2004-09-01
32,2.471530766043299,2004-10-01
33,2.567836497638436,2004-11-01
34,2.547091731458919,2004-12-01
35,2.6798499320300944,2005-01-01
36,2.8242224859304366,2005-02-01
37,2.7956233058401176,2005-03-01
38,2.8874356723575993,2005-04-01
39,3.0058564936621557,2005-05-01
40,3.138317795501,2005-06-01
41,3.0190675471155553,2005-07-01
42,3.1936273988552486,2005-08-01
43,3.1467572038658336,2005-09-01
44,3.3517636922758838,2005-10-01
45,3.4919860026268243,2005-11-01
46,3.6001206033101436,2005-12-01
47,3.4435235880218875,2006-01-01
48,3.4675978300892343,2006-02-01
49,3.5855190916978357,2006-03-01
50,3.458045439787894,2006-04-01
51,3.598031924490451,2006-05-01
52,3.7324759008991717,2006-06-01
53,3.832065601177895,2006-07-01
54,3.9655587034703457,2006-08-01
55,4.133890158112847,2006-09-01
56,4.30562972819749,2006-10-01
57,4.407144166531868,2006-11-01
58,4.520548123287722,2006-12-01
59,4.297978794582851,2007-01-01
60,4.333615330343221,2007-02-01
61,4.399613685588089,2007-03-01
62,4.621562133165205,2007-04-01
63,4.5526115882111915,2007-05-01
64,4.210128020483515,2007-06-01
65,4.084343579152769,2007-07-01
66,4.228802797372846,2007-08-01
67,4.378934490604319,2007-09-01
68,3.9437048457453905,2007-10-01
69,3.8363722036692867,2007-11-01
70,3.695742278029133,2007-12-01
71,3.3343030060737116,2008-01-01
72,3.476702390267159,2008-02-01
73,3.490731066591092,2008-03-01
74,3.4203481267346683,2008-04-01
75,3.064364682230355,2008-05-01
76,3.1121675442402426,2008-06-01
77,3.1637444065719156,2008-07-01
78,2.537822371894823,2008-08-01
79,2.2609290390728116,2008-09-01
80,2.1512174998216134,2008-10-01
81,2.4472178818827763,2008-11-01
82,2.517863991007837,2008-12-01
83,2.2696111249676467,2009-01-01
84,2.642568150079608,2009-02-01
85,3.0333648023465303,2009-03-01
86,3.3700694990461484,2009-04-01
87,3.2032310177140673,2009-05-01
88,4.097031121690074,2009-06-01
89,4.814537122847034,2009-07-01
90,5.125167926368566,2009-08-01
91,4.704286471167857,2009-09-01
