,return_top20,Date,return_top10,return_top5,return_randamu,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum,SP500_Return,top20-RF,top10-RF,top5-RF,randamu-RF,RF_div100
0,0.067723676598,2002-02-01,0.07837316077999999,0.13436511256,0.051645638368,-2.29,-0.0229,-1.01,2.16,0.13,-0.02,-0.0114,0.0203,0.96302976,0.9989803,1.0539699,0.986402068,0.066423676598,0.07707316078,0.13306511256,0.050345638368,0.0013
1,-0.018798330445000004,2002-03-01,-0.015901617,-0.008177867000000002,-0.038262760155000006,4.24,0.0424,4.21,1.06,0.13,0.04,0.0408,0.0093,1.003862222,1.039738696,1.06377182,1.02199153,-0.020098330445000003,-0.017201617,-0.009477867000000001,-0.03956276015500001,0.0013
2,-0.022913712984999998,2002-04-01,-0.059388216910000007,-0.052572933020000004,-0.033134579920000004,-5.2,-0.052,5.96,3.88,0.15,-0.06,0.0581,0.0373,0.951661386,1.100147514,1.103450509,0.957212921,-0.024413712985,-0.06088821691000001,-0.054072933020000005,-0.034634579920000005,0.0015
3,-0.109012642165,2002-05-01,-0.12924705513,-0.0840957046,-0.11105186008000001,-1.38,-0.0138,-3.21,1.53,0.14,-0.01,-0.0335,0.0139,0.938528459,1.063292573,1.118788471,0.948480323,-0.110412642165,-0.13064705513000002,-0.0854957046,-0.11245186008000001,0.0014000000000000002
4,-0.08982954180000001,2002-06-01,-0.13906408010000001,-0.12136520760000001,-0.13149349040000002,-7.21,-0.0721,4.29,-0.05,0.13,-0.08,0.0416,-0.0018,0.870860557,1.107525544,1.116774652,0.877140998,-0.0911295418,-0.1403640801,-0.1226652076,-0.13279349040000002,0.0013
5,0.021232070565,2002-07-01,0.02594458207,0.0628153314,-0.00888543805,-8.18,-0.0818,-5.28,-3.85,0.15,-0.08,-0.0543,-0.04,0.799624164,1.047386907,1.072103666,0.804952407,0.019732070565,0.02444458207,0.06131533139999999,-0.01038543805,0.0015
6,-0.11355592625000001,2002-08-01,-0.14409199620000002,-0.1044256844,-0.09282797090000001,0.5,0.005,-2.86,3.28,0.14,0.0,-0.03,0.0314,0.803622284,1.0159653,1.105767721,0.808872158,-0.11495592625,-0.14549199620000003,-0.1058256844,-0.09422797090000001,0.0014000000000000002
7,0.050846813535,2002-09-01,0.06860578017,0.02522917446,0.020209526240000004,-10.35,-0.1035,2.4,1.47,0.14,-0.12,0.0226,0.0133,0.720447378,1.038926115,1.120474432,0.714589074,0.049446813535,0.06720578017,0.023829174459999998,0.018809526240000006,0.0014000000000000002
8,0.07269753589000001,2002-10-01,0.04420686918000001,0.11472510440000001,0.12549259225,7.84,0.0784,-3.41,-3.95,0.14,0.08,-0.0355,-0.0409,0.776930452,1.002044238,1.074647027,0.773838814,0.07129753589000001,0.04280686918000001,0.11332510440000002,0.12409259225000001,0.0014000000000000002
9,-0.040431068725,2002-11-01,-0.020226516149999995,-0.04439208049999999,-0.061080691750000006,5.96,0.0596,3.18,-1.23,0.12,0.06,0.0306,-0.0135,0.823235507,1.032706792,1.060139292,0.81678732,-0.041631068725,-0.021426516149999995,-0.04559208049999999,-0.062280691750000006,0.0012
10,-0.0500657812,2002-12-01,-0.0556266633,-0.026701687000000005,-0.04092686649999999,-5.76,-0.0576,0.09,2.14,0.11,-0.06,-0.0002,0.0203,0.775817142,1.032500251,1.08166012,0.765959236,-0.051165781199999996,-0.056726663299999994,-0.027801687000000005,-0.04202686649999999,0.0011
11,-0.0041270064700000015,2003-01-01,-0.008002951210000005,-0.026424068420000005,-0.015892342260000004,-2.57,-0.0257,1.33,-0.83,0.1,-0.03,0.0123,-0.0093,0.755878642,1.045200004,1.071600681,0.744667489,-0.0051270064700000015,-0.009002951210000006,-0.027424068420000006,-0.016892342260000005,0.001
12,-0.004291471542999997,2003-02-01,-0.005694287986000001,-0.010986484199999997,0.031057971445000006,-1.88,-0.0188,-0.45,-1.39,0.09,-0.02,-0.0054,-0.0148,0.741668123,1.039555924,1.055740991,0.731896557,-0.005191471542999997,-0.006594287986000001,-0.011886484199999997,0.030157971445000004,0.0009
13,0.09622853783000002,2003-03-01,0.1184353123,0.14695396800000002,0.1072333567,1.09,0.0109,1.02,-1.93,0.1,0.01,0.0092,-0.0203,0.749752306,1.049119838,1.034309449,0.73798804,0.09522853783000002,0.1174353123,0.14595396800000002,0.1062333567,0.001
14,0.07114763245,2003-04-01,0.0931382518,0.0871372626,0.05653613468999999,8.22,0.0822,0.63,1.14,0.1,0.08,0.0053,0.0104,0.811381945,1.054680173,1.045066267,0.795497493,0.07014763245,0.0921382518,0.0861372626,0.05553613468999999,0.001
15,0.023985730230000002,2003-05-01,0.04537724185000001,0.058180185800000006,0.015739789264999998,6.05,0.0605,4.67,0.4,0.09,0.05,0.0458,0.0031,0.860470553,1.102984525,1.048305972,0.834990495,0.02308573023,0.04447724185000001,0.05728018580000001,0.014839789264999998,0.0009
16,-0.026602509050000004,2003-06-01,-0.0257753338,-0.03931537140000001,0.014156470300000001,1.42,0.0142,1.74,0.11,0.1,0.01,0.0164,0.0001,0.872689235,1.121073471,1.048410803,0.844391341,-0.027602509050000005,-0.026775333800000002,-0.04031537140000001,0.0131564703,0.001
17,0.06459424999,2003-07-01,0.05802473851,0.02429977260000001,0.056837322285000005,2.35,0.0235,5.06,-1.24,0.07,0.02,0.0499,-0.0131,0.893197432,1.177015038,1.034676621,0.857980558,0.06389424999,0.05732473851,0.02359977260000001,0.056137322285000006,0.0007000000000000001
