,cum_return,Date
0,1.067723676598,2002-02-01
1,1.0476522541013604,2002-03-01
2,1.0236466510427935,2002-04-01
3,0.9120562249692649,2002-05-01
4,0.830126632184438,2002-06-01
5,0.8477519394168638,2002-07-01
6,0.7514846827061479,2002-08-01
7,0.789695284242116,2002-09-01
8,0.847104185510471,2002-10-01
9,0.8128548579688619,2002-11-01
10,0.7721586445024358,2002-12-01
11,0.7689719407807079,2003-01-01
12,0.765671919579482,2003-02-01
13,0.839351408858105,2003-03-01
14,0.8990692743919311,2003-04-01
15,0.9206341074655777,2003-05-01
16,0.8961429302899859,2003-06-01
17,0.9540286107559085,2003-07-01
18,0.9399273750924396,2003-08-01
19,0.9971256556230473,2003-09-01
20,1.0218507214752723,2003-10-01
21,1.041377732145249,2003-11-01
22,1.0831805343608625,2003-12-01
23,1.1111044034486737,2004-01-01
24,1.0957900187116938,2004-02-01
25,1.1126214708897113,2004-03-01
26,1.1249147742853531,2004-04-01
27,1.1723649100314792,2004-05-01
28,1.1528456445071145,2004-06-01
29,1.125947277965254,2004-07-01
30,1.1443395926852813,2004-08-01
31,1.2028857430684772,2004-09-01
32,1.2659568034599773,2004-10-01
33,1.3069238889623405,2004-11-01
34,1.2848245591932936,2004-12-01
35,1.2894122272177693,2005-01-01
36,1.2973476539607698,2005-02-01
37,1.2763936615551141,2005-03-01
38,1.322020086508689,2005-04-01
39,1.3314543647251447,2005-05-01
40,1.3797762443352142,2005-06-01
41,1.373508854772548,2005-07-01
42,1.3779862295888967,2005-08-01
43,1.3638075713742617,2005-09-01
44,1.4454506474667916,2005-10-01
45,1.4823837253333132,2005-11-01
46,1.5288030259357552,2005-12-01
47,1.528990390928412,2006-01-01
48,1.5662865821160112,2006-02-01
49,1.5641464306455775,2006-03-01
50,1.5621505625240764,2006-04-01
51,1.5805904304988756,2006-05-01
52,1.530403660265895,2006-06-01
53,1.5819543441575437,2006-07-01
54,1.6283345679518688,2006-08-01
55,1.6991619195570826,2006-09-01
56,1.7528954800242122,2006-10-01
57,1.773243249095382,2006-11-01
58,1.8161939610228366,2006-12-01
59,1.819066525567138,2007-01-01
60,1.8104074968822301,2007-02-01
61,1.8723999617893783,2007-03-01
62,1.9483126198333942,2007-04-01
63,1.9349089882936448,2007-05-01
64,1.862795980133185,2007-06-01
65,1.8955209043412606,2007-07-01
66,2.000007163396,2007-08-01
67,2.04385361622019,2007-09-01
68,1.9601780868901582,2007-10-01
69,1.9468790328275345,2007-11-01
70,1.8938837065031164,2007-12-01
71,1.8209536412578629,2008-01-01
72,1.8014517703131285,2008-02-01
73,1.9131028413952875,2008-03-01
74,2.000664138644329,2008-04-01
75,1.8045565704546986,2008-05-01
76,1.776426374759539,2008-06-01
77,1.827748189802328,2008-07-01
78,1.615172479209251,2008-08-01
79,1.2897198794949134,2008-09-01
80,1.2286575873972305,2008-10-01
81,1.289091900514545,2008-11-01
82,1.1812628589390082,2008-12-01
83,1.148520754533893,2009-01-01
84,1.2910145240982063,2009-02-01
85,1.4607254693468845,2009-03-01
86,1.5522613285911435,2009-04-01
87,1.5865015889364098,2009-05-01
88,1.7350547392780462,2009-06-01
89,1.8085322432918483,2009-07-01
90,1.8892611790464562,2009-08-01
91,1.897760460280399,2009-09-01
92,2.0522073494047484,2009-10-01
93,2.1301587921802536,2009-11-01
94,2.1030190451319233,2009-12-01
95,2.1917034748670274,2010-01-01
96,2.296124815503907,2010-02-01
97,2.4079901368386,2010-03-01
98,2.236566084923339,2010-04-01
99,2.15525602659635,2010-05-01
100,2.3186164674028826,2010-06-01
101,2.2300959255308337,2010-07-01
102,2.42974812798388,2010-08-01
103,2.5284278109874814,2010-09-01
104,2.4734174357721175,2010-10-01
105,2.611260768950166,2010-11-01
106,2.723688500249298,2010-12-01
107,2.781019205272945,2011-01-01
108,2.791246749539892,2011-02-01
109,2.8856119454860645,2011-03-01
110,2.8677144104787233,2011-04-01
111,2.8365917157768914,2011-05-01
112,2.6776589093432293,2011-06-01
113,2.6909843662508095,2011-07-01
114,2.5917917609628978,2011-08-01
115,2.877334714968308,2011-09-01
116,2.8581143823628326,2011-10-01
117,2.9259949810752715,2011-11-01
118,2.913839183138548,2011-12-01
119,3.038595286263453,2012-01-01
120,3.144733520357262,2012-02-01
121,3.0966932112231684,2012-03-01
122,2.983777616595285,2012-04-01
123,3.068038965359109,2012-05-01
124,3.1196635577453855,2012-06-01
125,3.1950195172134874,2012-07-01
126,3.228581696611438,2012-08-01
127,3.2352270229728006,2012-09-01
128,3.3740845452353234,2012-10-01
129,3.382083130049937,2012-11-01
130,3.5792137972100737,2012-12-01
131,3.6794470928494425,2013-01-01
132,3.792908855217348,2013-02-01
133,3.89405925511341,2013-03-01
134,3.9891422407652337,2013-04-01
135,3.943895438201493,2013-05-01
136,4.168944887376947,2013-06-01
137,4.095140966788383,2013-07-01
138,4.220490130306289,2013-08-01
139,4.409233917965449,2013-09-01
140,4.523576589767027,2013-10-01
141,4.605073697361585,2013-11-01
142,4.403953076732258,2013-12-01
143,4.616738717721274,2014-01-01
144,4.693297614720737,2014-02-01
145,4.704551949036976,2014-03-01
146,4.830583517459967,2014-04-01
147,4.957387344071259,2014-05-01
148,4.841840698959936,2014-06-01
149,5.11252616307582,2014-07-01
150,5.111238242300018,2014-08-01
151,5.379479851298866,2014-09-01
152,5.6261750774837695,2014-10-01
153,5.713445226333255,2014-11-01
154,5.635952368363073,2014-12-01
155,5.944715507765267,2015-01-01
156,5.9312457721900795,2015-02-01
157,5.876881849109692,2015-03-01
158,6.008362924121231,2015-04-01
159,5.95430140508872,2015-05-01
160,6.2752895649925104,2015-06-01
161,5.974783497005283,2015-07-01
162,5.9813902605350435,2015-08-01
163,6.401201701472353,2015-09-01
164,6.314814715120685,2015-10-01
165,6.037278079904287,2015-11-01
166,5.857445886730634,2015-12-01
167,5.974360430995508,2016-01-01
168,6.283694890373982,2016-02-01
169,6.268862399797089,2016-03-01
170,6.452482232589661,2016-04-01
171,6.448386258683192,2016-05-01
172,6.749500691963199,2016-06-01
173,6.621893269460481,2016-07-01
174,6.56866852980445,2016-08-01
175,6.493103586560622,2016-09-01
176,6.772161873426947,2016-10-01
177,6.904465699270889,2016-11-01
178,7.160470531364951,2016-12-01
179,7.505295923760751,2017-01-01
180,7.552437160756864,2017-02-01
181,7.582282942876912,2017-03-01
182,7.848137950968575,2017-04-01
183,7.593603064149022,2017-05-01
184,7.621818935519717,2017-06-01
185,7.542375323562512,2017-07-01
186,7.817498403222852,2017-08-01
187,7.784355741665354,2017-09-01
188,8.3296351629485,2017-10-01
189,8.510360235753728,2017-11-01
190,8.988914651940135,2017-12-01
191,8.557183290655308,2018-01-01
192,8.496881582793378,2018-02-01
193,8.402058835722226,2018-03-01
194,8.69892251443115,2018-04-01
195,8.843204139699422,2018-05-01
196,9.052828470117959,2018-06-01
197,9.108913014388174,2018-07-01
198,9.140192750643875,2018-08-01
199,8.407263958045341,2018-09-01
200,8.86453913111611,2018-10-01
201,8.066850215692208,2018-11-01
202,8.813738833473497,2018-12-01
203,9.11116788326898,2019-01-01
204,9.300936920845214,2019-02-01
205,9.674014090077426,2019-03-01
206,9.028119841302228,2019-04-01
207,9.760568671142916,2019-05-01
208,9.98458698866178,2019-06-01
209,9.690285560211569,2019-07-01
210,10.190318972785683,2019-08-01
211,10.298296724816709,2019-09-01
212,10.611206343242937,2019-10-01
213,10.747996260357644,2019-11-01
214,10.773134092000943,2019-12-01
215,10.001294164530014,2020-01-01
216,8.502915740801683,2020-02-01
217,10.429098880738465,2020-03-01
218,11.229847311138686,2020-04-01
219,11.345244014506315,2020-05-01
220,12.237714336561387,2020-06-01
221,13.179950248855029,2020-07-01
222,12.917178924061034,2020-08-01
223,12.801191316224685,2020-09-01
224,14.312458724620406,2020-10-01
225,14.701805155074192,2020-11-01
226,14.480889474047535,2020-12-01
227,15.134508651765454,2021-01-01
228,16.13201772206803,2021-02-01
229,16.903591721179584,2021-03-01
230,17.344141322548534,2021-04-01
231,17.334463886334436,2021-05-01
232,17.491211916634338,2021-06-01
233,17.846397572612997,2021-07-01
234,17.145195323287382,2021-08-01
235,18.267379241608413,2021-09-01
