,cum_return,Date
0,1.0856536685,2002-02-01
1,0.9621495868810135,2002-03-01
2,0.8717879915349436,2002-04-01
3,0.7231645526538252,2002-05-01
4,0.6782253502066865,2002-06-01
5,0.6869914233773832,2002-07-01
6,0.5986124528830701,2002-08-01
7,0.6500029577225483,2002-09-01
8,0.7306482903782536,2002-10-01
9,0.713873007779988,2002-11-01
10,0.6777002817913934,2002-12-01
11,0.6686714910106201,2003-01-01
12,0.6552700718033967,2003-02-01
13,0.7124263253574723,2003-03-01
14,0.7406485830706202,2003-04-01
15,0.7379746860828745,2003-05-01
16,0.7642245903098809,2003-06-01
17,0.8399929210925102,2003-07-01
18,0.8465170194565032,2003-08-01
19,0.8912784841218037,2003-09-01
20,0.8981147204444961,2003-10-01
21,0.9424574649017434,2003-11-01
22,0.9792909565171309,2003-12-01
23,0.9700303756295766,2004-01-01
24,0.9557789012054609,2004-02-01
25,0.9616982212232106,2004-03-01
26,0.9919341319335608,2004-04-01
27,1.0458593289835485,2004-05-01
28,0.9878285901263912,2004-06-01
29,0.9233094323447949,2004-07-01
30,0.9258414092589905,2004-08-01
31,0.9656547210514671,2004-09-01
32,0.9987609684711166,2004-10-01
33,1.0387151397494898,2004-11-01
34,1.0276054647901107,2004-12-01
35,1.073167788130576,2005-01-01
36,1.0714939926816058,2005-02-01
37,1.0469199799380275,2005-03-01
38,1.1068683590172057,2005-04-01
39,1.133113155355231,2005-05-01
40,1.2310219139157956,2005-06-01
41,1.2240708711244894,2005-07-01
42,1.2113767954996153,2005-08-01
43,1.227104115771617,2005-09-01
44,1.2850695671628816,2005-10-01
45,1.2961318233512729,2005-11-01
46,1.3663547836333614,2005-12-01
47,1.3839653652949595,2006-01-01
48,1.4211924108112859,2006-02-01
49,1.390124133532551,2006-03-01
50,1.3144279154576775,2006-04-01
51,1.318092766567575,2006-05-01
52,1.2677308035838377,2006-06-01
53,1.3315640298272753,2006-07-01
54,1.342773479373881,2006-08-01
55,1.3900211074437159,2006-09-01
56,1.4520119393217028,2006-10-01
57,1.457063411611568,2006-11-01
58,1.474707167936919,2006-12-01
59,1.4552518581721647,2007-01-01
60,1.482477558346683,2007-02-01
61,1.569460573653443,2007-03-01
62,1.621713403486759,2007-04-01
63,1.611973334290215,2007-05-01
64,1.6789789430136595,2007-06-01
65,1.666167301291103,2007-07-01
66,1.7589578509593657,2007-08-01
67,1.8571706541671857,2007-09-01
68,1.7869878818673897,2007-10-01
69,1.8169351135501461,2007-11-01
70,1.762635616895296,2007-12-01
71,1.7603660434148094,2008-01-01
72,1.7592004015479412,2008-02-01
73,1.7758289874502828,2008-03-01
