,cum_return,Date
0,1.04462926652,2002-02-01
1,1.0383257031183097,2002-03-01
2,1.05168118775317,2002-04-01
3,1.0268871089797458,2002-05-01
4,0.9394394914160659,2002-06-01
5,0.9946738302920664,2002-07-01
6,0.9212191351908988,2002-08-01
7,0.9352471604951829,2002-09-01
8,0.9910238289745602,2002-10-01
9,0.9401501917420815,2002-11-01
10,0.9031940665120182,2002-12-01
11,0.869564060456959,2003-01-01
12,0.897191016973862,2003-02-01
13,1.0333051547540508,2003-03-01
14,1.176534584326309,2003-04-01
15,1.172193140831995,2003-05-01
16,1.1858709951862096,2003-06-01
17,1.2482179196071357,2003-07-01
18,1.2066867307057685,2003-08-01
19,1.2892912401202292,2003-09-01
20,1.3188613677130996,2003-10-01
21,1.3860833626673743,2003-11-01
22,1.4555855243997324,2003-12-01
23,1.4867624097026522,2004-01-01
24,1.4846363147616537,2004-02-01
25,1.4791935002456102,2004-03-01
26,1.5108793668389868,2004-04-01
27,1.5629455126922887,2004-05-01
28,1.554084822019402,2004-06-01
29,1.5660464302110375,2004-07-01
30,1.587383789079833,2004-08-01
31,1.6065188961710861,2004-09-01
32,1.682765999380122,2004-10-01
33,1.7483613810796796,2004-11-01
34,1.7106088379365803,2004-12-01
35,1.7630776724606645,2005-01-01
36,1.767483155495584,2005-02-01
37,1.7119772796958888,2005-03-01
38,1.7651066655289644,2005-04-01
39,1.834672774105924,2005-05-01
40,1.8985917669533838,2005-06-01
41,1.8755063794473619,2005-07-01
42,1.941215060198781,2005-08-01
43,1.9396539435887155,2005-09-01
44,2.0083883909497686,2005-10-01
45,2.039346302477628,2005-11-01
46,2.096359029996947,2005-12-01
47,2.1071606701555394,2006-01-01
48,2.15911287432563,2006-02-01
49,2.1898469253163793,2006-03-01
50,2.2039500807360843,2006-04-01
51,2.2266048515797623,2006-05-01
52,2.2308762930081794,2006-06-01
53,2.2235701153945366,2006-07-01
54,2.2731375545619077,2006-08-01
55,2.322751987200607,2006-09-01
56,2.4078746810430784,2006-10-01
57,2.445540792348009,2006-11-01
58,2.477872489749824,2006-12-01
59,2.471344005760067,2007-01-01
60,2.5158435428464516,2007-02-01
61,2.6187173308567586,2007-03-01
62,2.7080877586475816,2007-04-01
63,2.680261002320721,2007-05-01
64,2.562293003414818,2007-06-01
65,2.5564169177783977,2007-07-01
66,2.615949012493068,2007-08-01
67,2.7419182239707736,2007-09-01
68,2.560038388682585,2007-10-01
69,2.528325257208463,2007-11-01
70,2.4219403304581375,2007-12-01
71,2.281387664241512,2008-01-01
72,2.2992026334741564,2008-02-01
73,2.374763001828093,2008-03-01
74,2.47132860048923,2008-04-01
75,2.300211507619205,2008-05-01
76,2.2806222583587297,2008-06-01
77,2.349269539231037,2008-07-01
78,2.0939171970449455,2008-08-01
79,1.7701855081039013,2008-09-01
80,1.6555216367471102,2008-10-01
81,1.7374363712301673,2008-11-01
82,1.6001715542719868,2008-12-01
83,1.4188198293031922,2009-01-01
84,1.606323229676435,2009-02-01
85,1.9806618325640892,2009-03-01
86,2.0962002422762316,2009-04-01
87,2.0567905000237374,2009-05-01
88,2.3232172873443786,2009-06-01
89,2.479811113628011,2009-07-01
90,2.7252926827293793,2009-08-01
91,2.5396717032921496,2009-09-01
92,2.7648968011355786,2009-10-01
93,2.9653194830862435,2009-11-01
94,2.9337466720673895,2009-12-01
95,3.082556386591297,2010-01-01
96,3.2683955620928224,2010-02-01
97,3.361105064230288,2010-03-01
98,3.090758155596239,2010-04-01
99,2.9300803234050283,2010-05-01
100,3.1589361891218166,2010-06-01
101,3.0110447849874693,2010-07-01
102,3.2837292440985464,2010-08-01
103,3.409410298990673,2010-09-01
104,3.382845000774076,2010-10-01
105,3.5705689326700285,2010-11-01
106,3.6624150767824992,2010-12-01
107,3.793050961373463,2011-01-01
108,3.7916496522775605,2011-02-01
109,3.8788623952098598,2011-03-01
110,3.8207644753925236,2011-04-01
111,3.792491924672492,2011-05-01
112,3.598325815926867,2011-06-01
113,3.4853312149948765,2011-07-01
114,3.09768594245308,2011-08-01
115,3.599206734369021,2011-09-01
116,3.618281356730579,2011-10-01
117,3.606718298110296,2011-11-01
118,3.679295368888611,2011-12-01
119,3.748409811017541,2012-01-01
120,3.8328674760990116,2012-02-01
121,3.824912447060911,2012-03-01
122,3.624655224843182,2012-04-01
123,3.7122495044966732,2012-05-01
124,3.6926426877947,2012-06-01
125,3.7913918046924557,2012-07-01
126,3.9498330419471412,2012-08-01
127,4.001120825285287,2012-09-01
128,4.105659180869751,2012-10-01
129,4.135016275232419,2012-11-01
