Date,SP500_Return,SP500_Return_MinusOne
201702,1.790495135,0.790495135
201703,1.789798085,0.789798085
201704,1.805996009,0.805996009
201705,1.826782514,0.826782514
201706,1.83555524,0.83555524
201707,1.87073175,0.87073175
201708,1.871753811,0.871753811
201709,1.907539792,0.907539792
201710,1.949401896,0.949401896
201711,2.003391586,1.003391586
201712,2.022991975,1.022991975
201801,2.133563493,1.133563493
201802,2.048805303,1.048805303
201803,1.99297021,0.99297021
201804,1.998381347,0.998381347
201805,2.041103148,1.041103148
201806,2.050963132,1.050963132
201807,2.123542574,1.123542574
201808,2.186854556,1.186854556
201809,2.196225461,1.196225461
201810,2.038252393,1.038252393
201811,2.074333082,1.074333082
201812,1.874646812,0.874646812
201901,2.016636601,1.016636601
201902,2.075715166,1.075715166
201903,2.112591371,1.112591371
201904,2.194053605,1.194053605
201905,2.044768248,1.044768248
201906,2.181069063,1.181069063
201907,2.209516239,1.209516239
201908,2.169176422,1.169176422
201909,2.206128864,1.206128864
201910,2.250749628,1.250749628
201911,2.326105382,1.326105382
201912,2.391675364,1.391675364
202001,2.387778328,1.387778328
202002,2.177989268,1.177989268
202003,1.886862303,0.886862303
202004,2.11219309,1.11219309
202005,2.205734709,1.205734709
202006,2.245926241,1.245926241
202007,2.36639049,1.36639049
202008,2.526640329,1.526640329
202009,2.425528975,1.425528975
202010,2.35747911,1.35747911
202011,2.598287228,1.598287228
202012,2.692992192,1.692992192
202101,2.662833058,1.662833058
202102,2.731419381,1.731419381
202103,2.844944843,1.844944843
202104,2.990313906,1.990313906
202105,3.006675428,2.006675428
202106,3.072734613,2.072734613
202107,3.141850337,2.141850337
202108,3.231638296,2.231638296
202109,3.074135474,2.074135474
