,cum_return,Date
0,1.051645638368,2002-02-01
1,1.0114067735390733,2002-03-01
2,0.9778942349696135,2002-04-01
3,0.8692972612147293,2002-05-01
4,0.754990330142444,2002-06-01
5,0.7482819103356143,2002-07-01
6,0.6788204189379835,2002-08-01
7,0.6925390580067584,2002-09-01
8,0.7794475796303997,2002-10-01
9,0.7318383822837117,2002-11-01
10,0.7018865305124102,2002-12-01
11,0.6907319095418231,2003-01-01
12,0.7121846414645234,2003-02-01
13,0.7885545911589503,2003-03-01
14,0.8331364197351306,2003-04-01
15,0.8462498114107582,2003-05-01
16,0.8582297217323752,2003-06-01
17,0.9070092010210441,2003-07-01
18,0.8766787544050706,2003-08-01
19,0.9299620398976517,2003-09-01
20,0.9529583483832347,2003-10-01
21,1.0194906482922235,2003-11-01
22,1.0532097795934627,2003-12-01
23,1.0773849708984682,2004-01-01
24,1.0700050335612292,2004-02-01
25,1.052522262291575,2004-03-01
26,1.066807659329357,2004-04-01
27,1.096876312235964,2004-05-01
28,1.0684795485436818,2004-06-01
29,1.061032108934955,2004-07-01
30,1.078220416724267,2004-08-01
31,1.0895301251358454,2004-09-01
32,1.1425142719473411,2004-10-01
33,1.1630084648374204,2004-11-01
34,1.1427674073475216,2004-12-01
35,1.1861003246758894,2005-01-01
36,1.188980865222437,2005-02-01
37,1.1530667876252323,2005-03-01
38,1.204193274299822,2005-04-01
39,1.2295287671784847,2005-05-01
40,1.277138366968506,2005-06-01
41,1.2422371006016721,2005-07-01
42,1.266147452792117,2005-08-01
43,1.2577270015087543,2005-09-01
44,1.3239086491904108,2005-10-01
45,1.3371280402309376,2005-11-01
46,1.3879052806799745,2005-12-01
47,1.3746194403386132,2006-01-01
48,1.4033692942108447,2006-02-01
49,1.4120546943638894,2006-03-01
50,1.414709109380755,2006-04-01
51,1.4444837875514904,2006-05-01
52,1.438476978206374,2006-06-01
53,1.4400019155410166,2006-07-01
54,1.4506575549411218,2006-08-01
55,1.5050996402702588,2006-09-01
56,1.532432175769445,2006-10-01
57,1.5117711491444052,2006-11-01
58,1.5426897045619048,2006-12-01
59,1.5538305485438075,2007-01-01
60,1.5903462930212897,2007-02-01
61,1.6479306797668098,2007-03-01
62,1.7034954142702303,2007-04-01
63,1.6668588275968161,2007-05-01
64,1.6222364213550733,2007-06-01
65,1.6696885596407898,2007-07-01
66,1.7688240953887622,2007-08-01
67,1.8124723435830252,2007-09-01
68,1.7332029955771977,2007-10-01
69,1.7312077660384846,2007-11-01
70,1.673959906543575,2007-12-01
71,1.6517733948919633,2008-01-01
72,1.6715359180669331,2008-02-01
73,1.7106872112512892,2008-03-01
74,1.7706275132815954,2008-04-01
75,1.612630358062425,2008-05-01
76,1.5769374952974826,2008-06-01
77,1.613028608674043,2008-07-01
78,1.454328429205249,2008-08-01
79,1.1224753456891585,2008-09-01
80,1.0608098847513427,2008-10-01
81,1.165709337374211,2008-11-01
82,1.0969366496088546,2008-12-01
83,1.0115472157827694,2009-01-01
84,1.1057533952454703,2009-02-01
85,1.2370050174216356,2009-03-01
86,1.2696254485849139,2009-04-01
87,1.2617424102142178,2009-05-01
88,1.4478214988750913,2009-06-01
89,1.5271904913829855,2009-07-01
90,1.7049580571171625,2009-08-01
91,1.6381943822580798,2009-09-01
92,1.7336748625231215,2009-10-01
93,1.8656406453548215,2009-11-01
94,1.8198602389896297,2009-12-01
95,1.9110288990449475,2010-01-01
96,2.037708346827203,2010-02-01
97,2.0907927441077403,2010-03-01
98,1.950885353563099,2010-04-01
99,1.8518320978065803,2010-05-01
100,1.9863396098822415,2010-06-01
101,1.9067270760131996,2010-07-01
102,2.1217309808868623,2010-08-01
103,2.1760415174046233,2010-09-01
104,2.2249341868716233,2010-10-01
105,2.40643083281087,2010-11-01
106,2.4620792878021076,2010-12-01
107,2.5867316327316714,2011-01-01
108,2.5894269965132457,2011-02-01
109,2.685534426723454,2011-03-01
110,2.6097078675255894,2011-04-01
111,2.55251210490334,2011-05-01
112,2.450778684531776,2011-06-01
113,2.248241975947325,2011-07-01
114,2.021995168394561,2011-08-01
115,2.3421637856631516,2011-09-01
116,2.348002668831349,2011-10-01
117,2.377282598558152,2011-11-01
118,2.5603262951699812,2011-12-01
119,2.66136941332299,2012-01-01
120,2.6862120519847297,2012-02-01
121,2.653168922021542,2012-03-01
122,2.5316022242613108,2012-04-01
123,2.662705117023964,2012-05-01
124,2.6513183936791367,2012-06-01
125,2.749338672525526,2012-07-01
126,2.866027840273572,2012-08-01
127,2.8169052546707247,2012-09-01
128,2.9172749541964205,2012-10-01
129,2.9381574184812016,2012-11-01
130,3.1393786941191464,2012-12-01
131,3.1440277272250756,2013-01-01
132,3.23062467556419,2013-02-01
133,3.284649090187411,2013-03-01
134,3.401315832608006,2013-04-01
135,3.3980196521280472,2013-05-01
136,3.5133604056892205,2013-06-01
137,3.4363018051169876,2013-07-01
138,3.6257388406129594,2013-08-01
139,3.7839881119567935,2013-09-01
140,3.850823329055934,2013-10-01
141,3.9498047509658543,2013-11-01
142,3.844073919527249,2013-12-01
143,4.080975399024007,2014-01-01
144,4.132917760847941,2014-02-01
145,4.192918143416674,2014-03-01
146,4.31536706811489,2014-04-01
147,4.411537175655248,2014-05-01
148,4.325029121770337,2014-06-01
149,4.53273836066994,2014-07-01
150,4.4956533052120475,2014-08-01
151,4.715897380929281,2014-09-01
152,4.932743328151699,2014-10-01
153,4.939227995228329,2014-11-01
154,4.894561285954801,2014-12-01
155,5.1920866234120275,2015-01-01
156,5.130981823564727,2015-02-01
157,5.0312358253040275,2015-03-01
